Period,LeftHipAngle
478,155.906142486617
479,156.267437253724
480,156.619019746424
481,156.95529876571
482,157.269930438718
483,157.559041146848
484,157.818482895832
485,158.047219966061
486,158.243542180184
487,158.40354083299
488,158.532867951039
489,158.62818426485
490,158.696959380723
491,158.741988346275
492,158.770583402653
493,158.787847688331
494,158.798880353161
495,158.803221857896
496,158.800817697426
497,158.784084817003
498,158.746828048873
499,158.687292626229
500,158.603494948993
501,158.507281241174
502,158.412041329767
503,158.321691893331
504,158.248388126788
505,158.199778030249
506,158.175766512208
507,158.173799129366
508,158.188373637476
509,158.232376693029
510,158.312352460584
511,158.450150562006
512,158.651353350295
513,158.935593649382
514,159.320196792762
515,159.826295103092
516,160.450146066511
517,161.217104031051
518,162.134591989222
519,163.189923184678
520,164.39940077649
521,165.723529642408
522,167.16358269418
523,168.694146272488
524,170.275676299471
525,171.898279275145
526,173.520835952052
527,175.125268306549
528,176.658327953087
529,178.007979910182
530,178.591748694623
531,177.755612173661
532,176.386596447709
533,174.896549060181
534,173.37074200068
535,171.829502989766
536,170.290250489993
537,168.770381432621
538,167.285358885565
539,165.83866172506
540,164.465631515094
541,163.163353248202
542,161.935106284082
543,160.801991228069
544,159.760699990192
545,158.826238522375
546,157.984467494859
547,157.248296342259
548,156.614805768101
549,156.070569811037
550,155.616165233668
551,155.254334053769
552,154.956287200436
553,154.720409126387
554,154.544227195802
555,154.402005566307
556,154.295029598334
557,154.201878370015
558,154.122575558055
559,154.030840229076
560,153.927039508818
561,153.802205984871
562,153.653996817238
563,153.486348057776
564,153.301886146987
565,153.105557343933
566,152.90909983284
567,152.71240304579
568,152.515449871966
569,152.32000622553
570,152.122979935702
571,151.928975340305
572,151.742915677634
573,151.573546821058
574,151.436525750391
575,151.346467245413
576,151.317236977398
577,151.359043326706
578,151.475539969108
579,151.665313023974
580,151.9182904234
581,152.223381580693
582,152.565254405603
583,152.930095264333
584,153.30923889481
585,153.697776007003
586,154.092831442037
587,154.494624181381
588,154.904485488944
589,155.322063467459
590,155.747284347731
591,156.176381314616
592,156.605043175294
593,157.027091279306
594,157.434638199374
595,157.820257682172
596,158.177024893142
597,158.497765189879
598,158.778600352778
599,159.015388291932
600,159.207054203035
601,159.353931381112
602,159.458760379044
603,159.525686975535
604,159.558928697386
605,159.565596955326
606,159.550893764003
607,159.51888981514
608,159.472163163684
609,159.409713986229
610,159.327107060508
611,159.221115402636
612,159.090273457186
613,158.937107400301
614,158.769178635761
615,158.596895626525
616,158.431610844163
617,158.282726204146
618,158.156406474128
619,158.057466732868
620,157.989458791513
621,157.959162532559
622,157.977786803079
623,158.059560599404
624,158.220695891217
625,158.478633160309
626,158.847031595696
627,159.337790712985
628,159.961624476541
629,160.724155176718
630,161.625731374711
631,162.662535875052
632,163.82387501021
633,165.09750645949
634,166.464586148836
635,167.908667797843
636,169.409013225504
637,170.946446888634
638,172.503606368988
639,174.06598483176
640,175.620782907812
641,177.147884619544
642,178.549113210967
643,178.920058172355
644,177.661943031406
645,176.104457785383
646,174.484629297241
647,172.845131697383
648,171.207229137643
649,169.590092480263
650,168.010073658779
651,166.484841521908
652,165.026096626843
653,163.64523503177
654,162.350599888327
655,161.146861270432
656,160.036050581145
657,159.018923529424
658,158.095051694248
659,157.262189853127
660,156.517746048964
661,155.859851383117
662,155.283076306814
663,154.783298700306
664,154.353107000005
665,153.986803168887
666,153.676317208101
667,153.414443108311
668,153.195469071817
669,153.013173365854
670,152.859604401176
671,152.726359349804
672,152.603301960807
673,152.481927693799
674,152.356721947985
675,152.225126974591
676,152.092439478235
677,151.966320682067
678,151.855722681591
679,151.770972070211
680,151.715247476117
681,151.691304687606
682,151.693485922254
683,151.715422567694
684,151.746738887619
685,151.779168214
686,151.803590856368
687,151.816549180152
688,151.818557604647
689,151.81453421078
690,151.811855128176
691,151.823506339055
692,151.861971006712
693,151.940022548862
694,152.0689169719
695,152.253443823963
696,152.491140866847
697,152.775706094683
698,153.095850294687
699,153.442878588866
700,153.809631208447
701,154.192229698653
702,154.589356873677
703,154.998369582767
704,155.415115963471
705,155.831918548871
706,156.23925744683
707,156.624700071942
708,156.977484328876
709,157.287259753912
710,157.544872401629
711,157.74494082159
712,157.883114567923
713,157.959648630673
714,157.978730976116
715,157.948968248654
716,157.884013713915
717,157.800464830763
718,157.716893271808
719,157.649610763425
720,157.608754479728
721,157.598945733826
722,157.615802531524
723,157.648444758867
724,157.679535825848
725,157.693683450256
726,157.680050387715
727,157.636030047681
728,157.568556467015
729,157.487532505041
730,157.40478513031
731,157.328473105143
732,157.26518627341
733,157.218084386189
734,157.192392553994
735,157.196902908805
736,157.246221915043
737,157.359191967005
738,157.558032760139
739,157.861541048009
740,158.281473914494
741,158.828607325788
742,159.507923073284
743,160.321868552801
744,161.272140481441
745,162.35434681719
746,163.563631415386
747,164.887588805272
748,166.311172285255
749,167.816042206244
750,169.380268329526
751,170.976463324196
752,172.578550496065
753,174.140523517675
754,175.608962282382
755,176.842206629578
756,177.486516662774
757,177.12264356408
758,176.021422320471
759,174.619746168301
760,173.095249736508
761,171.525271558981
762,169.93501718956
763,168.348691971492
764,166.789336262803
765,165.273362239723
766,163.805014168651
767,162.407404430624
768,161.083817386383
769,159.840919607887
770,158.698515334019
771,157.651381849797
772,156.708537668489
773,155.866932536886
774,155.143091890466
775,154.533898907925
776,154.031269901198
777,153.628763461454
778,153.33526015318
779,153.12155806783
780,152.993728381437
781,152.930581886405
782,152.919209449342
783,152.954784973735
784,153.007989267208
785,153.065034161648
786,153.123798380518
787,153.167103495077
788,153.200294998973
789,153.218624031292
790,153.227863925041
791,153.241277158454
792,153.253443055855
793,153.279046255452
794,153.30695687968
795,153.347084391186
796,153.389472648342
797,153.430323051865
798,153.456781169306
799,153.486399886845
800,153.502495645541
801,153.524421767308
802,153.544506973633
803,153.573613385965
804,153.605530287677
805,153.634332049754
806,153.661296655546
807,153.687342034596
