Time,LeftHipAngle,RightHipAngle,LeftKneeAngle,RightKneeAngle,LeftAnkleAngle,RightAnkleAngle
1970-01-01 00:00:08.180,160.13973497359788,149.90363472261922,161.56255245290478,168.41231938947408,88.36165325804077,101.10165404754984
1970-01-01 00:00:08.190,161.06895805805866,149.87709743188125,159.5420937158607,167.72028629235766,89.98493167206506,101.80196908080424
1970-01-01 00:00:08.200,162.1550156272849,149.88144433578077,157.14148153184306,167.00248229257878,92.04819393738303,102.24141218549184
1970-01-01 00:00:08.210,163.39593078577792,149.9115720825553,154.37331922228452,166.27427448228622,94.54591437488128,102.41130670602236
1970-01-01 00:00:08.220,164.78461064989503,149.97149215614715,151.27908781307852,165.5673206497842,97.4297055195124,102.32608894751708
1970-01-01 00:00:08.230,166.29072020659288,150.0485484179905,147.9197853892631,164.91229574875177,100.57859768581083,102.02083371009748
1970-01-01 00:00:08.240,167.90526239765848,150.1388858057022,144.36559877734905,164.34415314999993,103.7981468952079,101.54452792571736
1970-01-01 00:00:08.250,169.59622423709172,150.2395034018602,140.7078424624016,163.89428219456136,106.85429488082468,100.95467068957424
1970-01-01 00:00:08.260,171.31747395971564,150.36047450614208,137.04767753588666,163.58254580128764,109.53172310763856,100.30506659646504
1970-01-01 00:00:08.270,173.0409557496064,150.50621044758387,133.48599375149024,163.42030567434392,111.65878733255656,99.64793475276451
1970-01-01 00:00:08.280,174.75403519135807,150.6820699044858,130.1223141117083,163.40454116723535,113.13063545820116,99.01645306842346
1970-01-01 00:00:08.290,176.43127771914274,150.89862090408923,127.04105944730134,163.5263648108428,113.9296502182968,98.43903036434467
1970-01-01 00:00:08.300,178.07244402116453,151.16793552039815,124.30602944098716,163.77262200216708,114.09829719356044,97.92906792750014
1970-01-01 00:00:08.310,179.68061101100838,151.48278184703344,121.96121786616357,164.10914255242773,113.73406895904408,97.48399957203112
1970-01-01 00:00:08.320,178.70369168950745,151.8449705197291,120.02334285098928,164.52195352870444,112.94092783271206,97.10172058969512
1970-01-01 00:00:08.330,177.09560516137205,152.2450310625677,118.48823691636494,164.98485361042358,111.82587998357826,96.77155994876182
1970-01-01 00:00:08.340,175.4650426067046,152.67152077246337,117.34095557245348,165.4813511025506,110.47947775613876,96.48398934597203
1970-01-01 00:00:08.350,173.81902971032926,153.1144833139934,116.55825163604072,166.00129080685528,108.98841547534768,96.2304366176123
1970-01-01 00:00:08.360,172.1504981005022,153.55850522097657,116.11730400134068,166.5351972734372,107.4114521630544,96.00384582675645
1970-01-01 00:00:08.370,170.48034522857347,153.9921934548011,115.9976441245074,167.0731861881587,105.78898965577392,95.7975695306677
1970-01-01 00:00:08.380,168.82152256548994,154.40380642433638,116.19040524667498,167.60869132820164,104.17538098280096,95.60653387703248
1970-01-01 00:00:08.390,167.18500547262116,154.78439852458004,116.68523477425396,168.13629809997173,102.5956403435302,95.42832153884716
1970-01-01 00:00:08.400,165.5932311549763,155.12788820782177,117.48176072520234,168.64899428498288,101.0782754569268,95.25798859623777
1970-01-01 00:00:08.410,164.06680552044577,155.42794443800048,118.5819373583198,169.14363140337625,99.65462366745795,95.09092454598884
1970-01-01 00:00:08.420,162.61421800264154,155.68326783738885,119.9869213437481,169.60961440947668,98.34827788043415,94.92005796123875
1970-01-01 00:00:08.430,161.25222748277068,155.89316146037672,121.700998496053,170.04308947465367,97.18238358571236,94.73925538704756
1970-01-01 00:00:08.440,159.99632769124614,156.0559095285448,123.72607382741718,170.44162095411176,96.17377831224054,94.54447477442268
1970-01-01 00:00:08.450,158.84910529579247,156.1744728413956,126.05968092484872,170.8003881137991,95.32868326789732,94.32875110552412
1970-01-01 00:00:08.460,157.81857711029386,156.252787288209,128.6981145134529,171.1181187378227,94.64435306089368,94.09069170501228
1970-01-01 00:00:08.470,156.90957031080808,156.29316689383313,131.6327305614537,171.39280840984904,94.1154553209,93.82578885347031
1970-01-01 00:00:08.480,156.12364809426433,156.3009277833098,134.8477705922088,171.62657407113548,93.72204744406577,93.5382787803914
1970-01-01 00:00:08.490,155.46045245277227,156.2798816810275,138.31538909578072,171.81942523610348,93.43987316236066,93.22342042575886
1970-01-01 00:00:08.500,154.91824177509793,156.23460071118956,141.99279835444125,171.9741938965879,93.23798619265874,92.88484382623544
1970-01-01 00:00:08.510,154.4902560940287,156.1659993602541,145.81417869013953,172.0952484553243,93.084955675862,92.52447538388762
1970-01-01 00:00:08.520,154.17046729953864,156.0744761328169,149.689635588306,172.18580700434316,92.95203422236568,92.14305615173932
1970-01-01 00:00:08.530,153.94941728402634,155.9580915393994,153.50031934268443,172.2528750521095,92.81916638494108,91.7488377672905
1970-01-01 00:00:08.540,153.8153065333343,155.8148480086799,157.10173845078577,172.30103333306147,92.67541603117428,91.34464775498482
1970-01-01 00:00:08.550,153.75479772629882,155.6450723152702,160.33159048795176,172.33585133610453,92.52049412480912,90.936674265543
1970-01-01 00:00:08.560,153.75442880156956,155.4529804410067,163.03064062901694,172.36035493160438,92.35985923431862,90.52778724469248
1970-01-01 00:00:08.570,153.79988238227568,155.2491089999288,165.077563854549,172.37502824196687,92.1987907126943,90.11714045194712
1970-01-01 00:00:08.580,153.8751953624536,155.0469690378718,166.44066081974893,172.38137734266107,92.04334147589032,89.7143291582493
1970-01-01 00:00:08.590,153.9699369303727,154.86229772004725,167.2088291376724,172.3752876672242,91.9012012953512,89.31636851627248
1970-01-01 00:00:08.600,154.07200336074018,154.7096490023054,167.56394674910223,172.35347082685257,91.78746747419912,88.93492369202515
1970-01-01 00:00:08.610,154.1756264155049,154.60172377030142,167.69725217118514,172.30670237499967,91.72917479050643,88.56785219640211
1970-01-01 00:00:08.620,154.27658784665516,154.54702692232573,167.74528460157345,172.2230453261219,91.76753911973084,88.21839106052725
1970-01-01 00:00:08.630,154.37196197116066,154.5528104210472,167.7750893256822,172.08490768254956,91.95409074218789,87.89047004969706
1970-01-01 00:00:08.640,154.46159031277125,154.62291100072838,167.80020352784746,171.86923416254268,92.33929919161687,87.58755093565323
1970-01-01 00:00:08.650,154.54596948935972,154.7625937404355,167.81070246950503,171.54493889405913,92.96520537097666,87.31135808582957
1970-01-01 00:00:08.660,154.62358303448056,154.9805286019926,167.79542383642627,171.07363547744194,93.84986922226074,87.06617767516128
1970-01-01 00:00:08.670,154.6935202850483,155.2842471889817,167.7495030683208,170.41627311477365,94.98282722844787,86.87369945092117
1970-01-01 00:00:08.680,154.74936468699124,155.68587121168335,167.6714628644813,169.5284685545668,96.31403020973154,86.75320570631644
1970-01-01 00:00:08.690,154.78419124387548,156.19612539806997,167.5542949647348,168.37188335759012,97.7564293078136,86.74280148006099
1970-01-01 00:00:08.700,154.79031549279213,156.8255302959544,167.3816564889544,166.91670274398837,99.19403527646124,86.89532365711875
1970-01-01 00:00:08.710,154.76324050098816,157.58125254505043,167.1273960713458,165.14501339457289,100.50239667609208,87.27496217948415
1970-01-01 00:00:08.720,154.70367890572535,158.46505979362803,166.7666123385569,163.0510573248433,101.56905457244795,87.94537656314317
1970-01-01 00:00:08.730,154.6201390452643,159.4734285763319,166.28291728123065,160.64785171380643,102.31188094136236,88.97735763087728
1970-01-01 00:00:08.740,154.52403429151718,160.59712047760945,165.68245578752433,157.96019369216629,102.69083440908707,90.41712895549222
1970-01-01 00:00:08.750,154.43126079631423,161.8241840130047,164.99633628769158,155.02461667522476,102.70979005369594,92.2722292972548
1970-01-01 00:00:08.760,154.35781766934144,163.14175851070888,164.27672582385242,151.88652408902803,102.41135213985308,94.49952221931002
1970-01-01 00:00:08.770,154.31223856355328,164.53744722050064,163.58823644921006,148.59661240039478,101.86572841540692,96.9874517230872
1970-01-01 00:00:08.780,154.30396730824614,165.99871588981893,162.99177417338797,145.20982687230827,101.15621900254692,99.56875034115062
1970-01-01 00:00:08.790,154.33890906712728,167.5131923486521,162.53568570432023,141.78363781022097,100.36647340069142,102.04543991617092
1970-01-01 00:00:08.800,154.4199426454501,169.06544619362654,162.24750345072397,138.37945169074783,99.56920446102708,104.22600409677167
1970-01-01 00:00:08.810,154.54820275837952,170.63894506176473,162.1329580070559,135.05995563575897,98.81869734786424,105.96545757588478
1970-01-01 00:00:08.820,154.72627491978616,172.2068036690805,162.17619996632646,131.88983868710582,98.14785742891442,107.18829018160524
1970-01-01 00:00:08.830,154.95233818594068,173.7261952428618,162.3476446240926,128.9291618376861,97.5692682228864,107.8874032462806
1970-01-01 00:00:08.840,155.22518434580658,175.1129023448283,162.6083346316948,126.22980656215238,97.07914534191234,108.11345833254428
1970-01-01 00:00:08.850,155.5399136747523,176.1763660562186,162.9217296194832,123.8326025674202,96.66391856903266,107.95218160102256
